key,0,1,2,3
#,,,,
int32,str,int32,int32,byte
0,"",0,0,0
1,"戰隊“<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>”成立了。",0,1,0
2,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>加入了戰隊。",2,0,0
3,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>退出了戰隊。",2,0,0
4,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>退出了戰隊。",2,0,0
5,"",2,0,0
6,"",2,0,0
7,"戰隊名已被修改為“<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>”。",0,1,0
8,"戰隊徽章已變更。",0,0,0
9,"戰隊段位已升至“<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>”。",0,3,0
10,"戰隊段位已降至“<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>”。",0,3,0
11,"新的賽季開始了。",0,0,0
12,"因為隊長已經離開一定期間，<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>被任命為戰隊隊長。",2,0,0
13,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>被任命為戰隊副隊長。",2,0,0
14,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>被移交了戰隊隊長職務。",2,0,0
