key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,Number,Icon,Stats,Description,LocationKey,Location,RequiredForQuest,PreviousQuest,TargetsEnemy,TargetsSelfOrAlly,CauseSlow,CausePetrify,CauseParalysis,CauseInterrupt,CauseBlind,CauseStun,CauseSleep,CauseBind,CauseHeavy,CauseDeath
int32,byte,Image,str,str,byte,Row,Quest,Quest,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,bit&08
0,0,0,"","",0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1,25,72201,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊類型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊屬性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>風
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>評級：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","杜彭老師的秘技。
噴出猛烈的鼻息來攻擊正面敵人的青魔法。除了能讓敵人受到狂風侵襲外，還可以微妙地造成一些精神傷害。",4,81,0,0,True,False,False,False,False,False,False,False,False,False,False,False
2,26,72202,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊類型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>物理打擊
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊屬性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>無
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>評級：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","奧爾特羅斯的絕招。
製造出虛幻的砝碼並使其落下壓向敵人。實際上砝碼究竟是不是正好4星噸就不好說了。",4,81,0,0,True,False,False,False,False,False,False,False,False,False,True,False
3,1,72203,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊類型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊屬性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>水
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>評級：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★
","從克拉肯身上學習到的青魔法。
放出高壓水流對敵人造成衝擊。因為是利用水屬性乙太凝聚空氣中的水分，所以即使在看似沒有水的地方也能夠使用。",3,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
4,9,72204,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊類型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊屬性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>無
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>評級：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","賽蓮所擅長的青魔法。
將惡毒的魔力融入歌聲，污染聽到的人的精神，由此引起敵人的幻痛，間接對肉體造成傷害。",4,17,0,0,True,False,False,False,False,False,False,False,False,False,False,False
5,6,72205,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊類型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊屬性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>雷
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>評級：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","亞拉戈帝國開發出的機械魔法。
嘗試讓機械發動魔法的過程中誕生的產物。首先控制雷屬性乙太，然後提高電壓，最後將電流向四周放射出去。",4,93,0,0,True,False,False,False,True,False,False,False,False,False,False,False
6,28,72206,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊類型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊屬性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>無
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>評級：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★
","毛爾波爾使用的青魔法。
操縱風土兩種屬性的乙太，使乙太轉向靈極性，由此向口中吐出的氣息中加入毒素大範圍噴射。被稱為是最臭的青魔法。",1,54,0,0,True,False,True,False,True,True,True,False,False,False,True,False
7,4,72207,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊類型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>物理打擊
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻擊屬性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>無
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>評級：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★
","祖鳥使用的青魔法。
使用魔法操縱自身的精神，消除腦內的恐懼並增幅憤怒，以此解除肉體的枷鎖，將全部力量發揮出來攻向敵人。",4,17,0,0,True,False,False,False,False,False,False,False,False,False,False,False
