key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,OutputType,,BalloonTime,IsBalloonSlow,BattleTalkTime,,,Text,,,
int32,uint32,bit&01,bit&02,bit&04,byte,byte,uint32,single,single,bit&08,bit&10,byte,byte,str,uint16
0,0,False,False,False,1,0,0,0,1,False,False,1,25,"0",0
1,0,False,False,False,3,0,0,0,1,False,False,1,25,"0",0
2,0,False,False,False,3,0,0,0,5,False,False,1,25,"快！誰來幫個忙！",0
3,0,False,False,False,3,0,0,0,5,False,False,1,25,"小心！魔物過來了！",0
4,0,False,False,False,3,0,0,0,5,False,False,1,25,"小頑童要出來了！不要放它們走！",0
5,0,False,False,False,3,0,0,0,5,False,False,1,25,"該死！數量太多了！",0
6,0,False,False,False,3,0,0,0,5,False,False,1,25,"魔物已經衝到那裡了！",0
7,0,False,False,False,3,0,0,0,5,False,False,1,25,"風精靈族要過來了！注意警戒！",0
8,0,False,False,False,3,0,0,0,5,False,False,1,25,"魔物的數量增加了！大家小心！",0
9,0,False,False,False,3,0,0,0,5,False,False,1,25,"這裡的治安就交給我們維護！",0
10,0,False,False,False,3,0,0,0,5,False,False,1,25,"不要讓盜賊們給看扁了！",0
11,0,False,False,False,3,0,0,0,5,False,False,1,25,"奧猴衝向豆子去了！",0
12,0,False,False,False,3,0,0,0,5,False,False,1,25,"鳥人族攻過來了！",0
13,0,False,False,False,3,0,0,0,5,False,False,1,25,"那是……席茲？！",0
14,0,False,False,False,3,0,0,0,5,False,False,1,25,"竟然又來了？！我們必須保護好樹苗！",0
15,0,False,False,False,3,0,0,0,5,False,False,1,25,"魔物們現在很亂！要小心！",0
16,0,False,False,False,3,0,0,0,5,False,False,1,25,"該死……得換個戰術了！",0
17,0,False,False,False,3,0,0,0,5,False,False,1,25,"破碎金龜！把他們都幹掉！",0
18,0,False,False,False,3,0,0,0,5,False,False,1,25,"有人能來協助我們一下嗎？",0
19,0,False,False,False,3,0,0,0,5,False,False,1,25,"誰能來幫幫我！",0
20,0,False,False,False,3,0,0,0,5,False,False,1,25,"什麼？魔像竟然這麼……",0
21,0,False,False,False,3,0,0,0,5,False,False,1,25,"可惡的小頑童！竟然還來！",0
