key,0,1,2,3,4
#,Name,Icon,Icon{DutyFinder},,
int32,str,Image,Image,byte,byte
0,"",0,0,0,0
1,"隨機任務",61807,0,0,0
2,"迷宮挑戰",61801,60831,1,1
3,"行會令",61803,60833,2,2
4,"討伐殲滅戰",61804,60834,1,3
5,"大型任務",61802,60832,1,4
6,"PvP",61806,60836,1,5
7,"任務戰鬥",61805,60835,0,0
8,"F.A.T.E.",61809,0,0,0
9,"尋寶",61808,60838,0,0
10,"理符任務",61811,0,0,0
11,"大國防聯軍",61812,0,0,0
12,"搭檔",61813,0,0,0
13,"友好部族任務",61814,0,0,0
14,"完成情況",61810,0,0,0
15,"最優隊員",61817,0,0,0
16,"大地使者",61815,60859,0,0
17,"能工巧匠",61816,0,0,0
18,"僱員",61818,0,0,0
19,"金碟遊樂園",61820,60848,1,0
20,"",61823,60846,0,0
21,"深層迷宮",61824,60847,0,0
22,"",61801,60831,0,0
23,"",61821,61821,2,0
24,"天書奇談",61825,0,0,0
25,"老顧客交易",61827,0,0,0
26,"優雷卡",61833,60851,0,0
27,"假面狂歡",61836,60853,0,0
28,"絕殲滅戰",61832,60855,1,6
29,"天佑女王",61838,61838,0,0
30,"特殊迷宮探索",61846,61846,1,0
31,"出海垂釣",61756,0,0,0
32,"九宮幻卡",61820,0,0,0
33,"狩獵任務",61819,0,0,0
34,"釣魚",61756,0,0,0
35,"G.A.T.E.事件",61820,0,0,0
36,"",0,0,0,0
37,"",0,0,0,0
