key,0,1,2
#,,,
int32,str,str,str
0,"","",""
1,"[第1期]","宇宙探索計畫的開始","即日起將由本人報導威執筆，記錄宇宙探索計畫的軌跡。

言歸正傳，探索威主任所構想的宏偉計畫終於啟動了！
目前作為從月面前往外宇宙的港口而設置的月門基地中，僅有寥寥數台機械。
要在月面或是廣大的外星大地奔馳，很可能用到重型機具。而供重型機具停放的機庫，以及供計畫的協助者們交易備用物資的店鋪等設施還處於臨時搭設的狀態。

更令我們擔心的是，偶爾會有小型隕石群落在這渴望灣之中……
雖然我們的衣服在設計之初就考慮到在外星活動的情況，使用了十分結實的材料，但住在臨時搭建的帳篷裡還是讓人擔心害怕！
因此，從亞伊太利斯前來協助的各位，我希望能借助你們的力量，盡快讓月面基地的基礎設施變得完善！"
2,"[第2期]","擴建月門基地","來自亞伊太利斯的協助者們陸續抵達了！
他們之中不乏在迷津參與過方舟計畫的研究者、在薩雷安魔法大學鑽研最新宇宙理論的教授，以及有名的拾穗人、冒險者和工匠，可謂人才濟濟！多虧他們的努力，月門基地的基礎設施升級了。

 臨時搭建的帳篷如今換成了結實的強化金屬製屋頂！這下就不用擔心寶貴的物資被墜落物砸壞，可以放心繼續進行接下來的計畫了。
>
托大家的福，宇宙探索計畫的開始階段進展順利。接下來就以這月門基地的周邊為立足點，進一步探索渴望灣的各處吧。"
3,"[第3期]","初次開通宇宙快線","我們兔兔族長期生活在這月面之上，如今才對它這樣大費周章地探索，想必各位讀者會覺得很奇怪吧。
不過，除了對探索外宇宙的出發地展開建設之外，我們在渴望灣的活動還有另一個目的，那就是提前演練，為將來前往外星做好準備。

這次製造完成的「宇宙快線」，也是以能在外星使用為前提而設計的移動設備。
外星的地脈未必穩定，因此可能會需要不依靠傳送魔法的高速移動手段。
當前的目標是讓宇宙快線的通行範圍覆蓋渴望灣全域，安全穩定地運作。"
4,"[第4期]","居住艙和宇宙港竣工","提供給來自亞伊太利斯的各位協助者們的「居住艙」，以及供宇宙飛船起降的「宇宙港」，目前均已竣工！
 現階段兩者僅具備基礎功能，但今後會繼續進行擴建。
 
 在建設居住艙時，我們吸取了樂園都市笑笑鎮的失敗經驗，相信這次可以提供保證安全、舒適的居住環境！
 
 我們把乙太學最新的研究成果應用在宇宙港的設計上，現在能夠精準地讓宇宙飛船受到宇宙空間中稀薄的乙太流——宙脈的引導了。
 目前雖然只完成了基礎部分，不過我們又向外星之旅邁出了踏實的一步！"
5,"[第5期]","改良機庫","為了提高在外星探索和各種作業的效率，我們兔兔族與人類研究者共同開發了秘密機械……新型機具！

雖然機具在機甲行動中表現活躍，不過由於機具之前都保管在帳篷裡，因此有時會受到粉塵與墜落物影響而故障。
但貨櫃型的機庫建成後，機具就不會再受到環境的影響了。
聽說機庫裡現在還能進行更高級的調整維護，相信機具的運行效率也能不斷改善！"
6,"[第6期]","宇宙快線向西北區域延伸","宇宙快線目前已經通到了渴望灣西北部的葫蘆灣！

此外，途經站點均配備了工作人員休息處和機具能量補給處。在探索遠方的區域前，可以先在這些站點做好充足準備。
經宇宙快線前往各區域時，不妨留意一下各站點的這些設施！"
7,"[第7期]","宇宙快線向東南區域延伸","宇宙快線目前已經通到了渴望灣東南部的「婚禮威的庭園」！

這片區域是土壤改良的實驗場，因為月球的土質不太適合栽培植物，我們投用了營養劑。
這項計畫的負責人是個叫婚禮威的兔兔族，他和來自薩雷安的植物學家正在共同嘗試各種植物和菌類的繁殖與雜交。另外，據說總在嘆息海欣賞奇異菌類的愛情威也經常出入這裡……也許這就是庭園裡的蘑菇遠比花多的原因。"
