key,0,1,2,3,4,5,6,7,8,9,10
#,,,,,,,,,,,
int32,str,str,uint32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16
0,"","",0,0,0,0,0,0,0,0,0
1,"","",0,0,0,0,0,0,0,0,0
2,"","",0,0,0,0,0,0,0,0,0
3,"關於搬運","搬運",558,11,12,0,0,0,0,0,0
4,"關於透明","透明",559,13,14,0,0,0,0,0,0
5,"關於同行","同行",560,15,16,17,18,0,0,0,0
6,"關於帶路","帶路",561,19,0,0,0,0,0,0,0
7,"關於跟蹤","跟蹤",562,20,21,22,0,0,0,0,0
8,"關於變身","變身",563,23,24,0,0,0,0,0,0
9,"關於換裝","換裝",564,25,26,0,0,0,0,0,0
10,"關於護衛","護衛",565,27,28,0,0,0,0,0,0
