key,0,1,2,3,4,5,6,7,8,9
#,MonsterNoteTarget[0],MonsterNoteTarget[1],MonsterNoteTarget[2],MonsterNoteTarget[3],Count[0],Count[1],Count[2],Count[3],Reward,Name
int32,MonsterNoteTarget,MonsterNoteTarget,MonsterNoteTarget,MonsterNoteTarget,byte,byte,byte,byte,uint32,str
10001,1,0,0,0,3,0,0,0,75,"劍術士01"
10002,206,0,0,0,3,0,0,0,180,"劍術士02"
10003,208,0,0,0,3,0,0,0,360,"劍術士03"
10004,209,0,0,0,3,0,0,0,410,"劍術士04"
10005,211,0,0,0,3,0,0,0,530,"劍術士05"
10006,213,0,0,0,3,0,0,0,980,"劍術士06"
10007,210,0,0,0,3,0,0,0,1100,"劍術士07"
10008,217,0,0,0,3,0,0,0,1300,"劍術士08"
10009,220,0,0,0,3,0,0,0,1600,"劍術士09"
10010,223,224,0,0,3,3,0,0,1700,"劍術士10"
10011,228,229,0,0,3,3,0,0,2300,"劍術士11"
10012,227,0,0,0,3,0,0,0,3200,"劍術士12"
10013,230,0,0,0,3,0,0,0,4000,"劍術士13"
10014,232,0,0,0,3,0,0,0,4500,"劍術士14"
10015,234,0,0,0,3,0,0,0,5000,"劍術士15"
10016,235,0,0,0,3,0,0,0,5300,"劍術士16"
10017,237,0,0,0,3,0,0,0,5500,"劍術士17"
10018,240,0,0,0,3,0,0,0,5700,"劍術士18"
10019,238,0,0,0,3,0,0,0,5900,"劍術士19"
10020,242,244,0,0,3,3,0,0,6100,"劍術士20"
10021,32,137,0,0,4,3,0,0,6300,"劍術士21"
10022,245,0,0,0,4,0,0,0,6500,"劍術士22"
10023,138,0,0,0,4,0,0,0,6700,"劍術士23"
10024,34,0,0,0,4,0,0,0,6900,"劍術士24"
10025,150,0,0,0,4,0,0,0,7100,"劍術士25"
10026,252,0,0,0,4,0,0,0,7600,"劍術士26"
10027,255,0,0,0,4,0,0,0,8600,"劍術士27"
10028,158,0,0,0,4,0,0,0,9400,"劍術士28"
10029,161,0,0,0,4,0,0,0,9700,"劍術士29"
10030,37,38,0,0,4,3,0,0,10000,"劍術士30"
10031,165,42,0,0,4,3,0,0,11000,"劍術士31"
10032,39,166,0,0,4,3,0,0,12000,"劍術士32"
10033,265,0,0,0,4,0,0,0,12500,"劍術士33"
10034,171,0,0,0,4,0,0,0,13000,"劍術士34"
10035,64,0,0,0,4,0,0,0,13500,"劍術士35"
10036,271,0,0,0,4,0,0,0,14000,"劍術士36"
10037,294,0,0,0,4,0,0,0,14500,"劍術士37"
10038,176,0,0,0,4,0,0,0,15000,"劍術士38"
10039,301,0,0,0,4,0,0,0,16000,"劍術士39"
10040,306,66,0,0,4,3,0,0,16500,"劍術士40"
10041,67,72,0,0,5,2,0,0,17000,"劍術士41"
10042,179,184,0,0,5,2,0,0,17500,"劍術士42"
10043,73,187,0,0,5,2,0,0,18000,"劍術士43"
