key,0,1,2,3,4
#,Name{Action},Icon,Addon,QuickChatTransient,
int32,str,Image,Addon,QuickChatTransient,uint16
0,"已失效的快捷發言",783,0,0,0
1,"大家好！",9901,11030,1,1
2,"辛苦了！",9902,11031,2,2
3,"謝謝！",9903,11032,3,3
4,"漂亮！",9904,11033,5,4
5,"報告：PvP用額外技能1",9927,11034,6,0
6,"報告：極限爆發",9906,11035,23,6
7,"瞄準：攻擊補給箱",9907,11036,10,0
8,"瞄準：防禦補給箱",9908,11037,11,0
9,"瞄準：奮戰補給箱",9909,11038,12,0
10,"瞄準：狼心",9910,11039,13,0
11,"攻擊：防護職業",9911,11040,14,0
12,"攻擊：治療職業",9912,11041,15,0
13,"攻擊：近戰職業",9913,11042,16,0
14,"攻擊：遠程職業",9914,11043,17,0
15,"牽制：防護職業",9915,11044,19,0
16,"牽制：治療職業",9916,11045,20,0
17,"牽制：近戰職業",9917,11046,21,0
18,"牽制：遠程職業",9918,11047,22,0
19,"我來拾取戰章",9919,11048,24,0
20,"請去拾取戰章",9920,11049,25,0
21,"號令：進攻",9921,11050,53,21
22,"號令：撤退",9922,11051,55,22
23,"報告：MP",9923,11052,22,23
24,"報告：技力",9924,11053,9,0
25,"攻擊：目標",9925,11054,50,25
26,"干擾：目標",9926,11055,51,26
27,"報告：PvP用額外技能2",9928,11056,7,0
28,"呼籲：集中攻擊目標",9935,11057,28,0
29,"呼籲：停止集中攻擊",9936,11058,29,0
30,"道歉",9965,11713,4,30
31,"行動：前進",9966,11714,40,31
32,"行動：後撤",9967,11715,41,32
33,"我來押運戰術水晶",9968,11716,56,33
34,"請去押運戰術水晶",9969,11717,57,34
35,"掩護：目標",9964,11718,52,35
36,"自身發動極限爆發",9970,14904,24,36
37,"呼籲：集合",9971,14905,54,37
38,"報告：淨化",9905,11034,20,38
39,"報告：防禦",9972,11034,21,39
