key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,int32,str,str,str,str,str,str,uint32,byte,uint16,uint32,uint32,uint32,int32,uint32,uint32,int32,uint16,int32,int32,int32,int32,uint32,uint32,uint32,uint32,uint32,uint32,int32,int32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
0,0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,"巨型偏屬性水晶破壞指令","有報告稱尖叫泡芙附近，中控水晶調整月面環境時散溢出來的乙太形成了大量的巨型偏屬性水晶。駕駛動力裝甲前往報告中的地點粉碎巨型偏屬性水晶，回收碎片用以補充屬性變換用的資源。","駕駛動力裝甲，
粉碎巨型偏屬性水晶。","使用宇宙鑽頭粉碎小型偏屬性水晶。
將獲取的資源投入野外探測器分析。","機甲行動——巨型偏屬性水晶破壞指令已發布。
想成為駕駛員的人請透過探索觸控板提交申請。","機甲行動即將開始。
想以協助員身份參加機甲行動的人請到任務地點集合。",368,5,0,11502159,10921203,11482845,60493,10921201,11482848,60492,600,20172,20171,60809,63889,11759496,6,7,8,7,8,1420,1422,1,4259842,4259843,4259844,4259845,4259846,11629602,330,11532641,11532657,11532659,11532660,11532661,296,297,298,299,300
2,0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,"有害菌床驅除指令","有報告發現，會散布有害異常孢子的螢光小菇正在蘑菇地附近大量增殖。這些孢子附著在宇宙探索用的器材表面，可能會對今後的探索造成很大的負面影響。駕駛輪式鏟裝車粉碎所有的紅色螢光小菇杜絕其進一步繁殖的可能性。","駕駛輪式鏟裝車，
剷除巨型變異菌床。","使用宇宙火焰噴射器焚燒小型變異菌床。
將燃燒後留下的灰燼投入野外探測器分析。","機甲行動——有害菌床驅除指令已發布。
想成為駕駛員的人請透過探索觸控板提交申請。","機甲行動即將開始。
想以協助員身份參加機甲行動的人請到任務地點集合。",378,5,0,11508987,11170532,11508985,60493,11170531,11508986,60492,600,20173,20171,60809,63889,11759498,9,10,11,7,8,1420,1422,5,4259862,4259863,4259864,4259865,4259866,11730314,333,11753130,11753131,11753132,11753133,11753134,301,302,303,304,305
6,0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
