key,0,1,2,3,4,5,6,7,8,9,10,11
#,Icon,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Tooltip,Action
int32,Image,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,Action
0,0,"",0,"",0,0,1,0,0,"","",0
1,27901,"",0,"",0,0,1,0,0,"魔陶器：咒印解除","清除本層所有陷阱",6259
2,27902,"",0,"",0,0,1,0,0,"魔陶器：全景","點亮本層所有地圖，可看到本層所有陷阱",6260
3,27903,"",0,"",0,0,1,0,0,"魔陶器：強化自身","自身攻擊造成的傷害及治療魔法的治療量提高30%",6262
4,27904,"",0,"",0,0,1,0,0,"魔陶器：強化防禦","自身受到的傷害減輕40%",6263
5,27905,"",0,"",0,0,1,0,0,"魔陶器：寶箱增加","增加下一層的寶箱",6264
6,27906,"",0,"",0,0,1,0,0,"魔陶器：減少敵人","減少下一層的敵人",6265
7,27907,"",0,"",0,0,1,0,0,"魔陶器：改變敵人","將下一層隨機一個房間的敵人變化為模仿怪或曼德拉草",6266
8,27908,"",0,"",0,0,1,0,0,"魔陶器：解咒","解除詛咒狀態",6267
9,27909,"",0,"",0,0,1,0,0,"魔陶器：運氣上升","在本層擊敗敵人時寶箱出現率上升",6268
10,27910,"",0,"",0,0,1,0,0,"魔陶器：形態變化","令進入以自身為中心一定範圍內的目標變為青蛙、河童、小雞",6269
11,27911,"",0,"",0,0,1,0,0,"魔陶器：魔法效果解除","消除本層所有魔法效果",6270
12,27912,"",0,"",0,0,1,0,0,"魔陶器：蠍尾獅化","自身變為蠍尾獅形態",6271
13,27913,"",0,"",0,0,1,0,0,"魔陶器：魅魔化","自身變為魅魔形態",6272
14,27916,"",0,"",0,0,1,0,0,"魔陶器：感知寶藏","顯示埋藏的寶藏的所在位置，效果將持續到發現埋藏的寶藏為止",6870
15,27914,"",0,"",0,0,1,0,0,"魔陶器：復生","復活第一個陷入無法戰鬥狀態的小隊隊員",6868
16,27915,"",0,"",0,0,1,0,0,"魔陶器：基路伯化","自身變為基路伯形態",6869
17,27919,"",0,"",0,0,1,0,0,"魔陶器：弱化敵人","將本層的敵人變為攻防低下的狀態",11275
18,27917,"",0,"",0,0,1,0,0,"魔陶器：隱形","將自身與小隊成員變為隱形狀態",11276
19,27918,"",0,"",0,0,1,0,0,"魔陶器：石化敵人","將本層的敵人變為石化狀態",11277
20,27920,"",0,"",0,0,1,0,0,"魔科學器：緩速","將本層的敵人變為緩速狀態",32144
21,27921,"",0,"",0,0,1,0,0,"魔科學器：大漩渦","將本層的敵人的HP降至個位數",32145
22,27922,"",0,"",0,0,1,0,0,"魔科學器：恐慌裝甲化","自身變為恐慌裝甲形態",32146
23,27901,"",0,"",0,0,1,0,0,"魔科學器：咒印解除","清除本層所有陷阱",6259
24,27902,"",0,"",0,0,1,0,0,"魔科學器：全景","點亮本層所有地圖，可看到本層所有陷阱",6260
25,27903,"",0,"",0,0,1,0,0,"魔科學器：強化自身","自身攻擊造成的傷害及治療魔法的治療量提高30%",6262
26,27904,"",0,"",0,0,1,0,0,"魔科學器：強化防禦","自身受到的傷害減輕40%",6263
27,27905,"",0,"",0,0,1,0,0,"魔科學器：寶箱增加","增加下一層的寶箱",6264
28,27906,"",0,"",0,0,1,0,0,"魔科學器：減少敵人","減少下一層的敵人",6265
29,27907,"",0,"",0,0,1,0,0,"魔科學器：改變敵人","將下一層隨機一個房間的敵人變化為模仿怪或曼德拉草",6266
30,27908,"",0,"",0,0,1,0,0,"魔科學器：解咒","解除詛咒狀態",6267
31,27909,"",0,"",0,0,1,0,0,"魔科學器：運氣上升","在本層擊敗敵人時寶箱出現率上升",6268
32,27910,"",0,"",0,0,1,0,0,"魔科學器：形態變化","令進入以自身為中心一定範圍內的目標變為青蛙、河童、小雞",6269
33,27911,"",0,"",0,0,1,0,0,"魔科學器：魔法效果解除","消除本層所有魔法效果",6270
34,27916,"",0,"",0,0,1,0,0,"魔科學器：感知寶藏","顯示埋藏的寶藏的所在位置，效果將持續到發現埋藏的寶藏為止",6870
35,27914,"",0,"",0,0,1,0,0,"魔科學器：復生","復活第一個陷入無法戰鬥狀態的小隊隊員",6868
36,0,"",0,"",0,0,0,0,0,"","",0
37,0,"",0,"",0,0,0,0,0,"","",0
38,0,"",0,"",0,0,0,0,0,"","",0
