key,0,1,2
#,,,
int32,uint16,str,str
0,0,"",""
1,1978,"月門基地的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地正在進行「第一次基地擴建工程」施工！
工程急需人手！歡迎各位協助者加入！"
2,1979,"月門基地的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地正在進行「第一次宇宙快線鋪設工程支援行動」！
工程急需人手！歡迎各位協助者加入！"
3,1980,"月門基地東南方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地東南方正在進行「居住艙安裝工程支援行動」！
工程急需人手！歡迎各位協助者加入！"
4,1981,"月門基地西北方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地西北方正在進行「第一次宇宙港建設工程支援行動」！
工程急需人手！歡迎各位協助者加入！"
5,1982,"月門基地東北方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地東北方正在進行「第一次機庫擴建工程」！
工程急需人手！歡迎各位協助者加入！"
6,0,"渴望灣西北方的建設工程即將完工。
屆時工程對應的施工區域將禁止人員進入，敬請注意。",""
7,0,"渴望灣東南方的建設工程即將完工。
屆時工程對應的施工區域將禁止人員進入，敬請注意。",""
8,1983,"渴望灣南部的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","渴望灣南部正在進行「第一次隧道工程」施工！
工程急需人手！歡迎各位協助者加入！"
9,1984,"渴望灣南部的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","渴望灣南部正在進行「第二次隧道工程」施工！
工程急需人手！歡迎各位協助者加入！"
10,0,"渴望灣西南方隧道深處的建設工程即將完工。
屆時工程對應的施工區域將禁止人員進入，敬請注意。",""
11,1985,"月門基地的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地正在進行「第二次基地擴建工程」施工！
工程急需人手！歡迎各位協助者加入！"
12,1986,"月門基地西南方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地西南方正在進行「能源設施擴建工程支援行動」！
工程急需人手！歡迎各位協助者加入！"
13,1987,"月門基地西部的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地西部正在進行「供水設施擴建工程支援行動」！
工程急需人手！歡迎各位協助者加入！"
14,1988,"月門基地東北方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地東北方正在進行「第二次機庫擴建工程」！
工程急需人手！歡迎各位協助者加入！"
15,1989,"月門基地西北方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地西北方正在進行「第二次宇宙港建設工程支援行動」！
工程急需人手！歡迎各位協助者加入！"
16,1990,"渴望灣東北方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","渴望灣東北方正在進行「第一次升降梯建設用地整備工程」施工！
工程急需人手！歡迎各位協助者加入！"
17,1991,"渴望灣東北方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","渴望灣東北方正在進行「第二次升降梯建設用地整備工程」施工！
工程急需人手！歡迎各位協助者加入！"
18,0,"渴望灣東北方地底深處的建設工程即將完工。
屆時工程對應的施工區域將禁止人員進入，敬請注意。",""
19,1992,"月門基地的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地正在進行「基地綜合設施擴建工程」施工！
工程急需人手！歡迎各位協助者加入！"
20,0,"",""
21,0,"",""
22,0,"",""
23,0,"",""
24,0,"",""
25,0,"",""
26,0,"",""
27,0,"",""
28,0,"",""
29,0,"",""
30,0,"",""
31,0,"",""
32,0,"",""
33,0,"",""
34,0,"",""
35,0,"",""
36,0,"",""
37,0,"",""
38,0,"",""
39,0,"",""
