key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,ModelChara,MoveControl,FlyingCondition,,,,IsFlying,,MountCustomize,RideBGM,,,,ExitMoveDist,ExitMoveSpeed,,IsEmote,EquipHead,EquipBody,EquipLeg,EquipFoot,Order,Icon,UIPriority,RadiusRate,BaseMotionSpeed_Run,BaseMotionSpeed_Walk,,UnderwaterAnimationSpeed,ExtraSeats,MountAction,IsAirborne,ExHotbarEnableConfig,UseEP,,IsImmobile,,,,HideHeadgear,TiltGround,TiltAir/Swim,TiltParam3,,TiltParam4,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,ModelChara,MoveControl,MountFlyingCondition,byte,byte,byte,byte,byte,MountCustomize,BGM,str,str,str,byte,byte,bit&01,bit&02,int32,int32,int32,int32,int16,Image,uint16,byte,bit&04,byte,byte,byte,byte,MountAction,bit&08,bit&10,bit&20,bit&40,bit&80,byte,byte,bit&01,bit&02,TiltParam,TiltParam,TiltParam,bit&04,TiltParam,bit&08
0,"",0,"",0,0,1,0,0,0,0,0,45,15,15,0,0,0,0,"","","",10,10,False,True,0,0,0,0,-1,0,0,100,False,0,0,100,0,0,False,False,False,False,False,0,0,False,False,0,0,0,False,0,False
1,"專屬陸行鳥",0,"",0,0,1,0,0,1,2,2,45,15,15,1,0,1,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65536,65536,65537,0,0,4001,100,100,False,0,0,55,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
2,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,61,"","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65537,65537,65537,65537,-1,0,0,100,False,0,0,55,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
3,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,61,"","","SE_Bt_Etc_ChocoboBye",2,9,False,True,65552,65552,65537,0,-1,0,0,100,False,0,0,55,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
4,"古卜",0,"",0,0,1,0,0,200,4,1,45,15,15,1,2,0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,False,True,0,0,0,0,1,4003,1000,100,False,0,0,60,0,1,False,True,False,False,False,0,0,False,False,8,19,39,False,40,False
5,"遺產陸行鳥",0,"",0,0,1,0,0,1,2,1,45,15,15,1,0,1,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65545,65545,65545,65545,2,4002,101,100,False,0,0,55,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
6,"魔導裝甲",0,"",0,0,1,0,0,2,2,1,45,0,15,1,2,0,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,131073,0,0,3,4006,10000,77,False,0,0,70,0,2,False,True,False,False,False,0,0,False,False,30,23,41,False,40,False
7,"",0,"",0,0,1,0,0,311,5,0,45,15,15,0,0,2,121,"","","",0,0,False,True,0,0,0,0,-1,0,0,100,False,0,0,100,0,0,False,False,False,False,False,0,0,False,False,9,19,39,False,40,False
8,"夸爾",0,"",0,0,1,0,0,2047,2,1,45,70,70,1,2,3,121,"SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,False,True,0,0,0,0,4,4005,3200,60,False,0,0,60,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,42,False
