key,0,1,2
#,Icon,Name,Description
int32,Image,str,str
0,0,"",""
1,216801,"魔法效果：失明","我方全員命中率降低"
2,216802,"魔法效果：最大HP減少","我方全員最大HP降低"
3,216803,"魔法效果：傷害降低","我方全員造成的傷害降低"
4,216804,"魔法效果：能力封印","我方全員無法發動能力類技能"
5,216805,"魔法效果：加速","我方全員自動攻擊間隔縮短，同時戰技與魔法的詠唱及複唱時間也會縮短"
6,216806,"魔法效果：最大HP與MP提升","我方全員最大HP與MP上升"
7,216807,"魔法效果：禁止使用道具","我方全員無法使用道具與某些特殊道具"
8,216808,"魔法效果：禁止衝刺","我方全員無法發動衝刺"
9,216809,"魔法效果：禁止擊退","敵我雙方擊退與吸引效果無效"
10,216810,"魔法效果：HP自然恢復無效","我方全員HP無法自然恢復"
11,216811,"魔法效果：妖霧彌漫","被妖霧籠罩，所有敵人的移動速度與攻擊造成的傷害上升，受到的傷害減輕"
12,216812,"魔法效果：衝刺","我方全員的移動速度上升"
13,216813,"魔法效果：禁止使用魔石","我方全員無法使用魔石"
14,216814,"魔法效果：禁止使用亞靈複製體","我方全員無法使用亞靈複製體"
