key,0
#,
int32,str
0,""
1,""
2,""
3,"粗魯的霍比格族"
4,"休息中的霍比格族"
5,"大汗淋漓的朵普羅族"
6,"不安的霍比格族"
7,"瑪布露"
8,"友之石塔"
9,"食之石塔"
10,"葦之石塔"
11,"罐之石塔"
12,"金之石塔"
13,"墓之石塔"
14,"封之石塔"
15,"空白的石塔"
16,"烏克·拉瑪特"
17,"粉色的半固體"
18,"裝有液體的小包"
19,"細長的固體"
20,"裝有糊狀物的小包"
21,"也許是食品罐頭的物體"
22,""
23,""
24,""
25,""
26,""
27,"迎曦之民盜賊"
28,"眾陽之民采集家"
29,"迎曦之民探險家"
30,"阿爾夏爾"
31,"普莉修"
32,"巴庫加加"
33,"管家之王"
34,"小黃鶯的忠實粉絲"
35,"流沙屋的店員"
36,"皮科特"
37,""
38,""
39,""
40,""
41,""
42,""
43,""
44,""
45,""
46,""
