key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,,,,,,,,,,,,,,,,
int32,str,str,str,str,str,byte,uint16,byte,uint32,int32,uint32,uint32,byte,byte,byte,byte
0,"","","","","",0,158,0,0,0,0,0,0,0,0,0
1,"第一次基地擴建工程　物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","第一次基地擴建工程　物資準備中","是時候一起籌備物資，擴建月門基地啦！
請積極參加探索任務幫忙籌備物資！","宇宙探索終於啟航！是時候一起籌備物資，擴建月門基地啦！","探索威",0,158,1,241001,0,0,0,0,0,2,3
2,"第一次基地擴建工程　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","第一次基地擴建工程　聯合工程準備中","擴建月門基地的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","擴建月門基地的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",0,158,2,241001,1451,0,0,0,0,2,3
3,"第一次基地擴建工程　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","第一次基地擴建工程　聯合工程進行中","擴建月門基地的聯合工程正在進行中！
請一定要來幫忙呀！","擴建月門基地的聯合工程正在進行中！請一定要來幫忙呀！","探索威",0,158,3,241001,0,0,0,0,0,2,3
4,"月門基地：二級基地　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","月門基地：二級基地　竣工","月門基地擴建完畢啦！成果很棒！
探索活動正在有條不紊的推進著，感謝大家的幫助！","月門基地擴建完畢啦！成果很棒！感謝大家的幫助！","探索威",1,158,4,241002,1406,18,0,5,0,2,3
5,"第一次宇宙快線鋪設工程支援行動　物資收集中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","第一次宇宙快線鋪設工程支援行動　物資收集中","我們需要在月門基地附近建設快速移動的宇宙快線！
請積極參加探索任務幫忙籌備物資！","我們需要在月門基地附近建設快速移動的宇宙快線！一起籌備物資吧！","探索威",1,158,5,241003,0,0,0,0,0,2,3
6,"第一次宇宙快線鋪設工程支援行動　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","第一次宇宙快線鋪設工程支援行動　聯合工程準備中","建設宇宙快線的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","建設宇宙快線的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",1,158,6,241003,1451,0,0,0,0,2,3
7,"第一次宇宙快線鋪設工程支援行動　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","第一次宇宙快線鋪設工程支援行動　聯合工程進行中","建設宇宙快線的聯合工程正在進行中！
請一定要來幫忙呀！","建設宇宙快線的聯合工程正在進行中！請一定要來幫忙呀！","探索威",1,158,7,241003,0,0,0,0,0,2,3
8,"宇宙快線內環線　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","宇宙快線內環線　竣工","宇宙快線竣工啦！
這下就方便去更遠的地方探索了，感謝大家的幫助！","宇宙快線竣工啦！感謝大家的幫助！","探索威",2,158,8,241004,1405,18,1,5,0,2,3
9,"居住艙&宇宙港　建設物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","居住艙&宇宙港　建設物資準備中","我們需要建設居住艙和發射宇宙飛船的宇宙港！
請積極參加探索任務幫忙籌備物資！","我們需要建設居住艙和發射宇宙飛船的宇宙港！一起籌備物資吧！","探索威",2,158,9,241005,0,0,0,0,0,2,3
10,"居住艙安裝工程支援行動　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","居住艙安裝工程支援行動　聯合工程準備中","建設居住艙的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","建設居住艙的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",2,158,10,241005,1451,0,0,0,0,2,3
11,"居住艙安裝工程支援行動　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","居住艙安裝工程支援行動　聯合工程進行中","建設居住艙的聯合工程正在進行中！
請一定要來幫忙呀！","建設居住艙的聯合工程正在進行中！請一定要來幫忙呀！","探索威",2,158,11,241005,0,0,0,0,0,2,3
12,"第一次宇宙港建設工程支援行動　物資準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","第一次宇宙港建設工程支援行動　物資準備中","建設宇宙港的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","建設宇宙港的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",3,158,12,241006,1401,18,2,5,0,2,3
13,"第一次宇宙港建設工程支援行動　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","第一次宇宙港建設工程支援行動　聯合工程進行中","建設宇宙港的聯合工程正在進行中！
請一定要來幫忙呀！","建設宇宙港的聯合工程正在進行中！請一定要來幫忙呀！","探索威",3,158,12,241006,0,0,0,0,0,2,3
14,"居住艙&宇宙港　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","居住艙&宇宙港　竣工","居住艙和宇宙港竣工啦！
越來越有基地的樣子了，感謝大家的幫助！","居住艙和宇宙港竣工啦！感謝大家的幫助！","探索威",4,158,13,241007,1401,18,3,5,0,2,3
15,"第一次機庫擴建工程　物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","第一次機庫擴建工程　物資準備中","我們需要改建機庫，使其具備更高性能！
請積極參加探索任務幫忙籌備物資！","我們需要改建機庫，使其具備更高性能！一起籌備物資吧！","探索威",4,158,14,241008,0,0,0,0,0,2,3
16,"第一次機庫擴建工程　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","第一次機庫擴建工程　聯合工程準備中","改建機庫的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","改建機庫的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",4,158,15,241008,1451,0,0,0,0,2,3
17,"第一次機庫擴建工程　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","第一次機庫擴建工程　聯合工程進行中","改建機庫的聯合工程正在進行中！
請一定要來幫忙呀！","改建機庫的聯合工程正在進行中！請一定要來幫忙呀！","探索威",4,158,16,241008,0,0,0,0,0,2,3
18,"二級機庫　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","二級機庫　竣工","機庫改建完畢啦！具備了更高性能！
相信今後機具一定能發揮更重要的作用，感謝大家的幫助！","機庫改建完畢啦！具備了更高性能！感謝大家的幫助！","探索威",5,158,17,241009,1402,18,4,5,0,2,3
19,"第二次宇宙快線鋪設工程　物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","第二次宇宙快線鋪設工程　物資準備中","我們需要建設宇宙快線西北線！
請積極參加探索任務幫忙籌備物資！","我們需要建設宇宙快線西北線！一起籌備物資吧！","探索威",5,158,18,241010,0,0,0,0,0,2,3
20,"第二次宇宙快線鋪設工程　施工中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請靜待宇宙快線鋪設完成！","第二次宇宙快線鋪設工程　施工中","宇宙快線西北線的竣工時間確定啦！
竣工之後整體環境將會變得更加便利，請再耐心等待一下！","宇宙快線西北線的竣工時間確定啦！","探索威",5,158,18,241010,1452,0,0,0,0,2,3
21,"宇宙快線西北線　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","宇宙快線西北線　竣工","宇宙快線西北線竣工啦！
相信今後對於西北方的探索會更進一步，感謝大家的幫助！","宇宙快線西北線竣工啦！感謝大家的幫助！","探索威",6,158,19,241011,1407,18,5,5,0,2,3
22,"第三次宇宙快線鋪設工程　物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","第三次宇宙快線鋪設工程　物資準備中","我們需要建設宇宙快線東南線！
請積極參加探索任務幫忙籌備物資！","我們需要建設宇宙快線東南線！一起籌備物資吧！","探索威",6,158,20,241012,0,0,0,0,0,2,3
23,"第三次宇宙快線鋪設工程　施工中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請靜待宇宙快線鋪設完成！","第三次宇宙快線鋪設工程　施工中","宇宙快線東南線的竣工時間確定啦！
竣工之後整體環境將會變得更加便利，請再耐心等待一下！","宇宙快線東南線的竣工時間確定啦！","探索威",6,158,20,241012,1452,0,0,0,0,2,3
24,"宇宙快線東南線　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","宇宙快線東南線　竣工","宇宙快線東南線竣工啦！
相信今後對於東南方的探索會更進一步，感謝大家的幫助！","宇宙快線東南線竣工啦！感謝大家的幫助！","探索威",7,158,21,241013,1409,18,6,5,0,2,3
25,"隧道貫通工程施工　物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","隧道貫通工程施工　物資準備中","我們需要開通穿山隧道！
請積極參加探索任務幫忙籌備物資！","我們需要開通穿山隧道！一起籌備物資吧！","探索威",7,158,22,241014,0,0,0,0,0,2,3
26,"第一次隧道貫通工程施工　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","第一次隧道貫通工程施工　聯合工程準備中","開通隧道的第一次聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","開通隧道的第一次聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",7,158,23,241014,1451,0,0,0,0,2,3
27,"第一次隧道貫通工程施工　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","第一次隧道貫通工程施工　聯合工程進行中","開通隧道的第一次聯合工程正在進行中！
請一定要來幫忙呀！","開通隧道的第一次聯合工程正在進行中！請一定要來幫忙呀！","探索威",7,158,24,241014,0,0,0,0,0,2,3
28,"第二次隧道貫通工程施工　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","第二次隧道貫通工程施工　聯合工程準備中","開通隧道的第二次聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","開通隧道的第二次聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",8,158,25,241015,1401,18,7,5,0,2,3
29,"第二次隧道貫通工程施工　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","第二次隧道貫通工程施工　聯合工程進行中","開通隧道的第二次聯合工程正在進行中！
請一定要來幫忙呀！","開通隧道的第二次聯合工程正在進行中！請一定要來幫忙呀！","探索威",8,158,25,241015,0,0,0,0,0,2,3
30,"穿行威隧道　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","穿行威隧道　竣工","穿行威隧道順利開通啦！
相信今後對於隧道深處的探索會更進一步，感謝大家的幫助！","穿行威隧道順利開通啦！感謝大家的幫助！","探索威",9,158,26,241016,1408,18,8,5,0,2,3
31,"第四次宇宙快線鋪設工程　物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","第四次宇宙快線鋪設工程　物資準備中","我們需要在隧道的另一邊鋪設宇宙快線！
請積極參加探索任務幫忙籌備物資！","我們需要在隧道的另一邊鋪設宇宙快線！一起籌備物資吧！","探索威",9,158,27,241017,0,0,0,0,0,2,3
32,"第四次宇宙快線鋪設工程　施工中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請靜待宇宙快線鋪設完成！","第四次宇宙快線鋪設工程　施工中","宇宙快線西南線的竣工時間確定啦！
竣工之後整體環境將會變得更加便利，請再耐心等待一下！","宇宙快線西南線的竣工時間確定啦！","探索威",9,158,27,241017,1452,0,0,0,0,2,3
33,"宇宙快線西南線　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","宇宙快線西南線　竣工","宇宙快線西南線竣工啦！
相信今後的探索會更進一步，感謝大家的幫助！","宇宙快線西南線竣工啦！感謝大家的幫助！","探索威",10,158,28,241018,1412,18,9,5,0,2,3
34,"第二次基地擴建工程　物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","第二次基地擴建工程　物資準備中","我們需要再次擴建月門基地！
請積極參加探索任務幫忙籌備物資！","我們需要再次擴建月門基地！一起籌備物資吧！","探索威",10,158,29,241019,0,0,0,0,0,2,3
35,"第二次基地擴建工程　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","第二次基地擴建工程　聯合工程準備中","再次擴建月門基地的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","再次擴建月門基地的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",10,158,30,241019,1451,0,0,0,0,2,3
36,"第二次基地擴建工程　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","第二次基地擴建工程　聯合工程進行中","再次擴建月門基地的聯合工程正在進行中！
請一定要來幫忙呀！","再次擴建月門基地的聯合工程正在進行中！請一定要來幫忙呀！","探索威",10,158,31,241019,0,0,0,0,0,2,3
37,"月門基地：三級基地　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一項工程尚在計畫階段，請先隨意放鬆一下吧！","月門基地：三級基地　竣工","月門基地擴建完畢啦！這次的成果更棒！
相信今後的探索活動會更進一步，感謝大家的幫助！","月門基地擴建完畢啦！這次的成果更棒！感謝大家的幫助！","探索威",11,158,32,241020,1410,18,10,5,1,2,3
38,"發電站&供水站　建設物資準備中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參加探索任務籌備物資吧！","發電站&供水站　建設物資準備中","我們需要建設發電站和供水站！
請積極參加探索任務幫忙籌備物資！","我們需要建設發電站和供水站！一起籌備物資吧！","探索威",11,158,33,241021,0,0,0,0,1,2,3
39,"能源設施擴建工程支援行動　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","能源設施擴建工程支援行動　聯合工程準備中","建設發電站的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","建設發電站的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",11,158,34,241021,1451,0,0,0,1,2,3
40,"能源設施擴建工程支援行動　聯合工程進行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請積極參與其中吧！","能源設施擴建工程支援行動　聯合工程進行中","建設發電站的聯合工程正在進行中！
請一定要來幫忙呀！","建設發電站的聯合工程正在進行中！請一定要來幫忙呀！","探索威",11,158,35,241021,0,0,0,0,1,2,3
41,"供水設施擴建工程支援行動　聯合工程準備中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>請為聯合工程的開工做好準備！","供水設施擴建工程支援行動　聯合工程準備中","建設供水站的聯合工程舉辦時間確定啦！
到時候請務必要來幫忙呀！","建設供水站的聯合工程舉辦時間確定啦！到時候一定要來幫忙呀！","探索威",12,158,36,241022,1401,18,11,5,1,2,3
