key,0,1,2,3,4,5,6,7
#,,Image,GridText,,,,,Text
int32,int32,Image,str,int32,uint32,byte,int32,str
0,0,0,"",0,0,0,0,"無"
1,3,0,"",12,0,2,0,"★ 相片"
2,3,0,"",22,0,4,0,"★ 拍立得"
3,3,0,"",32,0,6,0,"★ 電影"
4,3,0,"",18,0,100,0,"★ 浮世繪"
5,3,0,"",30,0,101,0,"★ 上下裝飾1"
6,3,0,"",31,0,102,0,"★ 上下裝飾2"
7,3,0,"",29,0,103,0,"★ 壁式畫框"
8,3,0,"",13,0,104,0,"★ 不規則"
9,0,0,"",0,0,0,0,""
10,0,0,"",0,0,0,0,""
11,0,0,"",0,0,0,0,""
12,0,0,"",0,0,0,0,""
13,0,0,"",0,0,0,0,""
14,0,0,"",0,0,0,0,""
15,0,0,"",0,0,0,0,""
16,0,0,"",0,0,0,0,""
17,1,230001,"",0,0,10,0,"◆ 簡潔1"
18,1,230002,"",0,255,50,0,"◆ 日記"
19,1,230003,"",0,255,51,0,"◆ 永結同心"
20,1,230004,"",0,255,52,0,"◆ 狩獵任務1"
21,2,0,"GroupPoseFrame9grid001",0,255,1,0,"◆ 相片"
22,2,0,"GroupPoseFrame9grid002",0,255,3,0,"◆ 拍立得"
23,2,0,"GroupPoseFrame9grid003",0,255,5,0,"◆ 電影"
24,1,230005,"",0,255,53,0,"◆ 狩獵任務2"
25,1,230006,"",0,2069202175,54,0,"◆ 九宮幻卡1"
26,1,230007,"",0,2069202175,55,0,"◆ 九宮幻卡2"
27,1,230008,"",0,255,11,0,"◆ 簡潔2"
28,1,230011,"",0,255,56,0,"◆ 碧海內牆"
29,1,230009,"",0,255,57,0,"◆ 密林內牆"
30,1,230010,"",0,255,58,0,"◆ 黃沙內牆"
31,0,0,"",0,0,0,0,""
32,0,0,"",0,0,0,0,""
33,0,0,"",0,0,0,0,""
34,0,0,"",0,0,0,0,""
35,0,0,"",0,0,0,0,""
36,0,0,"",0,0,0,0,""
37,0,0,"",0,0,0,0,""
38,1,230012,"",0,255,12,0,"◆ 簡潔3"
39,0,0,"",0,0,0,0,""
40,0,0,"",0,0,0,0,""
41,0,0,"",0,0,0,0,""
42,0,0,"",0,0,0,0,""
43,0,0,"",0,0,0,0,""
44,0,0,"",0,0,0,0,""
45,0,0,"",0,0,0,0,""
46,0,0,"",0,0,0,0,""
47,0,0,"",0,0,0,0,""
48,0,0,"",0,0,0,0,""
49,0,0,"",0,0,0,0,""
50,0,0,"",0,0,0,0,""
51,0,0,"",0,0,0,0,""
52,0,0,"",0,0,0,0,""
53,1,230013,"",0,255,61,0,"◆ 五線譜"
54,1,230014,"",0,2058672639,59,0,"◆ 無人島1"
55,1,230015,"",0,2058672639,60,0,"◆ 無人島2"
56,0,0,"",0,0,0,0,""
57,0,0,"",0,0,0,0,""
58,0,0,"",0,0,0,0,""
59,0,0,"",0,0,0,0,""
60,0,0,"",0,0,0,0,""
61,0,0,"",0,0,0,0,""
62,0,0,"",0,0,0,0,""
63,0,0,"",0,0,0,0,""
64,0,0,"",0,0,0,0,""
65,0,0,"",0,0,0,0,""
66,1,127957,"",0,255,255,0,"◆ 版本標誌"
67,1,230016,"",0,255,15,0,"◆ 白色花邊"
68,1,230017,"",0,255,16,0,"◆ 黑色花邊"
69,1,230018,"",0,255,13,0,"◆ 金屬1"
70,1,230019,"",0,255,14,0,"◆ 金屬2"
71,1,230020,"",0,255,17,0,"◆ 角花1"
72,1,230021,"",0,255,18,0,"◆ 角花2"
73,0,0,"",0,0,0,0,""
74,0,0,"",0,0,0,0,""
75,0,0,"",0,0,0,0,""
76,0,0,"",0,0,0,0,""
77,0,0,"",0,0,0,0,""
