key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,byte,byte,bit&01,uint16,byte,uint16,bit&02,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,str,str,str,str,str,str,str,str,str,str,str
0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
1,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
2,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
3,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
4,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
5,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
6,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
7,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
8,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
9,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
10,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
11,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
12,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
13,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
14,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
15,3,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"必要MGP：<Format(IntegerParameter(1),FF022C)/>MGP","やる","やる(無料券)","キャンセル","","","","","","",""
16,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"參加仙人微彩有獎競猜需要<Value>IntegerParameter(1)</Value>金碟幣。
確定要參加嗎？
[所持金碟幣：<Format(IntegerParameter(2),FF022C)/>]","是","否","","","","","","","",""
17,1,0,False,44,2,0,False,0,0,0,0,0,0,0,0,0,0,"哎呀，您的金碟幣好像不夠呢……
先去金碟幣兌換員那換些金碟幣如何？","","","","","","","","","",""
18,1,0,False,45,2,0,False,0,0,0,0,0,0,0,0,0,0,"哎呀，客人您剛剛也參加過我們的有獎競猜了……
您這麼喜歡仙人微彩是我們的榮幸。
不過每位客人最多只能參加3次，請您諒解……","","","","","","","","","",""
19,1,0,False,16,2,764,False,0,0,0,0,0,0,0,0,0,0,"第<Value>IntegerParameter(3)</Value>期仙人微彩正在舉辦之中！
怎麼樣，要不要來試試今天的運氣？","","","","","","","","","",""
20,1,0,False,21,2,764,False,0,0,0,0,0,0,0,0,0,0,"哎呀，不得了了！
我家的小陸行鳥在山頂上迷了路，
不巧又碰上愛惡作劇的哥布林族搗亂，我現在正頭疼呢。","","","","","","","","","",""
21,1,0,False,158,2,0,False,0,0,0,0,0,0,0,0,0,0,"他們到處亂丟炸彈，我根本無法靠近……
拜託您了，請登上科瑞爾山的山頂，
把小陸行鳥救出來吧！","","","","","","","","","",""
22,1,0,False,23,2,764,False,0,0,0,0,0,0,0,0,0,0,"您勇於挑戰的身影真是太令我感動了，
連摔下來的姿勢都那麼帥！可是小陸行鳥還在山頂瑟瑟發抖……
您能救救那孩子嗎？","","","","","","","","","",""
23,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"要再次進行挑戰嗎？","是","否","","","","","","","",""
24,1,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"感謝您幫助了迷路的小陸行鳥！
說不定牠以後還會走失……
到時候也要拜託您了！","","","","","","","","","",""
25,1,0,False,140,2,0,False,0,0,0,0,0,0,0,0,0,0,"可不可以麻煩你避開那些傢伙的視線，
把這個易碎的壺送過去？
這個壺非常容易壞，運送的時候一定要小心輕放啊。","","","","","","","","","",""
26,1,0,False,143,2,0,False,0,0,0,0,0,0,0,0,0,0,"可不可以麻煩你避開那些傢伙的視線，
把這個易碎的壺送過去？
這個壺非常容易壞，運送的時候一定要小心輕放啊。","","","","","","","","","",""
27,1,0,False,28,2,764,False,0,0,0,0,0,0,0,0,0,0,"<If(PlayerParameter(4))>大姐姐<Else/>大哥哥</If>，不好了！
我的小陸行鳥在仙人掌巨怪上迷了路，
可是哥布林族卻跑來搗亂，沒辦法幫助它！","","","","","","","","","",""
28,1,0,False,159,2,0,False,0,0,0,0,0,0,0,0,0,0,"他們到處亂丟炸彈，我過不去……
請你登上仙人掌巨怪的頂端，
救救小陸行鳥吧！","","","","","","","","","",""
29,1,0,False,30,2,764,False,0,0,0,0,0,0,0,0,0,0,"<If(PlayerParameter(4))>大姐姐<Else/>大哥哥</If>努力的樣子，我都看在眼裡了！
但是小陸行鳥它還在頂上……
求求你，再加把勁吧！","","","","","","","","","",""
30,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"要再次進行挑戰嗎？","是","否","","","","","","","",""
31,1,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"謝謝你救出了小陸行鳥！
啊，要是它下次再跑掉的話……
到時候就再拜託<If(PlayerParameter(4))>大姐姐<Else/>大哥哥</If>幫忙啦！","","","","","","","","","",""
32,1,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"哎呀，您的背包好像滿了呢……
在領取獎品之前還是先整理一下吧。","","","","","","","","","",""
33,1,0,True,100,2,764,False,0,0,0,0,0,0,0,0,0,0,"您持有的仙人仙彩已經可以兌換了。
那麼這就告訴您抽選結果！","","","","","","","","","",""
34,1,0,False,35,2,764,False,0,0,0,0,0,0,0,0,0,0,"哎呀，你看起來很有天分啊。
怎麼樣，要不要跟我學跳舞？
我會把你培養成烏爾達哈的舞會之星的。","","","","","","","","","",""
35,1,0,False,37,2,0,False,0,0,0,0,0,0,0,0,0,0,"如果你有興趣，就到舞臺上來吧。
仔細觀察舞蹈大師們的動作，然後試著模仿。
要是能完美重複所有的動作，你就是新的舞蹈大師了！","","","","","","","","","",""
36,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"要前往舞臺嗎？","是","否","","","","","","","",""
37,1,7,False,277,2,0,False,0,0,0,0,0,0,0,0,0,0,"舞蹈大師們會連續使用4種情感動作。
仔細觀察，並重複同樣的情感動作。
需要用到的情感動作可以通過特殊快速鍵來使用。","","","","","","","","","",""
38,1,0,False,39,2,764,False,0,0,0,0,0,0,0,0,0,0,"參加人數越多，仙人仙彩的金碟幣獎勵就越高。
所以請找朋友一起參加吧！","","","","","","","","","",""
39,1,7,False,40,0,0,False,0,0,0,0,0,0,0,0,0,0,"仙人仙彩的金碟幣獎勵，
會根據該周的購買人數另外追加額外獎勵。","","","","","","","","","",""
40,1,7,False,105,0,0,False,0,0,0,0,0,0,0,0,0,0,"購買人數獎勵有數個等級。
仙人仙彩的購買者越多，則等級越高，
可以獲得的額外獎勵就會越多。","","","","","","","","","",""
41,1,7,False,42,0,0,False,0,0,0,0,0,0,0,0,0,0,"每週<ResetTime>1707</ResetTime><Switch(TopLevelParameter(220))><Case(1)>週日</Case><Case(2)>週一</Case><Case(3)>週二</Case><Case(4)>週三</Case><Case(5)>週四</Case><Case(6)>週五</Case><Case(7)>週六</Case></Switch>的<If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>點（地球時間）
將會公佈當期仙人仙彩的抽選結果。","","","","","","","","","",""
42,1,7,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"兌換時間是抽選結果發表後一周內，
即下周<ResetTime>1707</ResetTime><Switch(TopLevelParameter(220))><Case(1)>週日</Case><Case(2)>週一</Case><Case(3)>週二</Case><Case(4)>週三</Case><Case(5)>週四</Case><Case(6)>週五</Case><Case(7)>週六</Case></Switch>的<If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>點（地球時間）為止。
錯過兌換時間將不予兌換，敬請注意。","","","","","","","","","",""
43,1,7,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"每週<ResetTime>1707</ResetTime><Switch(TopLevelParameter(220))><Case(1)>週日</Case><Case(2)>週一</Case><Case(3)>週二</Case><Case(4)>週三</Case><Case(5)>週四</Case><Case(6)>週五</Case><Case(7)>週六</Case></Switch>的<If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>點（地球時間）
將會公佈當期仙人仙彩的抽選結果。","","","","","","","","","",""
44,1,7,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"參加仙人微彩有獎競猜需要<Value>IntegerParameter(1)</Value>金碟幣。","","","","","","","","","",""
